id;first_name;last_name;email;bio;hire_date;rating
1;Dallin;Dickens;Eleazar_Hilll@hotmail.com;recede aside row;2025-06-03T04:28:47;10720.74
2;Tyshawn;Rodriguez;Osvaldo97@hotmail.com;sometimes throughout;2025-06-03T08:06:49;8993.63
3;Kenny;Johns;Trisha39@hotmail.com;qualified healthily gum;2025-06-03T09:27:42;12733.69
4;Mazie;Wilkinson;Joan.Roberts3@hotmail.com;clearly;2025-06-02T17:31:52;19005.55
5;Tomasa;Bergnaum-Hayes;Marisol30@hotmail.com;as fedora drat;2025-06-03T08:23:45;20966.03
6;Scotty;Bechtelar;Katarina.Wisozk94@gmail.com;taut;2025-06-03T10:11:48;32618.65
7;Melvina;Jacobi;Nettie18@hotmail.com;sarong;2025-06-02T19:44:22;23851.41
8;Niko;Prohaska;Payton_Swaniawski57@yahoo.com;ironclad solemnly gratefully;2025-06-02T20:37:09;11.06
9;Lia;Blanda;Erica_Emard88@yahoo.com;pish;2025-06-03T10:32:27;9838.78
10;Cecil;Hoppe;Kody20@gmail.com;accelerator harvest suddenly;2025-06-02T21:14:30;24897.75
