id;first_name;last_name;birth_date;gender;email;registration_date
1;Shirley;Hirthe;2025-06-03;MALE;Roberta84@hotmail.com;2025-06-03T00:37:58
2;Raegan;Ruecker;2025-06-02;OTHER;Wilford.Buckridge@hotmail.com;2025-06-03T04:34:48
3;Niko;Beier;2025-06-02;MALE;Trycia41@yahoo.com;2025-06-03T07:51:50
4;Dominic;MacGyver;2025-06-02;MALE;Nathanial.Langosh@gmail.com;2025-06-02T19:04:57
5;Murray;Smitham;2025-06-03;FEMALE;Yvette.Koepp5@yahoo.com;2025-06-02T12:36:34
6;Clint;Hahn;2025-06-02;FEMALE;Marta.Breitenberg@hotmail.com;2025-06-03T09:49:41
7;Carolyne;Herman;2025-06-03;OTHER;Percy85@hotmail.com;2025-06-03T05:43:42
8;Felicia;Roberts;2025-06-02;FEMALE;Margaretta13@hotmail.com;2025-06-02T21:32:12
9;Charlie;Kuhn;2025-06-02;OTHER;Lowell16@hotmail.com;2025-06-02T18:31:33
10;Marshall;Stokes;2025-06-03;OTHER;Chloe_Wolff@hotmail.com;2025-06-03T10:31:11
